Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAI-2392,TRIOS DESIGNS LLP   ,2017-01-11,West Bengal,KOLKATA,0,2,2000000,18,Manufacturing (Textiles)
1,AAI-1738,BGJC & ASSOCIATES LLP   ,2017-01-04,Delhi,DELHI,4,4,5000000,74,Business Services
1,AAI-1739,LUCENTE KITCHENS LLP   ,2017-01-04,Telangana,HYDERABAD,0,4,10000,74,Business Services
1,AAI-2998,URGE CARE HEALTH SOLUTIONS LLP   ,2017-01-18,Maharashtra,PUNE,0,2,20000,85,"Community, personal & Social Services"
1,AAI-2393,SRN CONSTRUCTION & DEVELOPERS LLP   ,2017-01-11,West Bengal,KOLKATA,0,4,6000000,45,Construction
1,AAI-2999,BAGMATI TRADING LLP   ,2017-01-18,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAI-1771,SHIDDAT LLP   ,2017-01-04,Delhi,DELHI,0,2,10000,74,Business Services
1,AAI-3948,NIKHAR ASSOCIATES LLP   ,2017-01-27,Maharashtra,PUNE,2,2,100000,45,Construction
1,AAI-3502,VIZISTATAMAAN TECHNOLOGIES LLP   ,2017-01-23,Karnataka,BANGALORE,0,2,50000,72,Business Services
1,AAI-3949,NEEVARSH CONSULTANTS LLP   ,2017-01-27,Uttar Pradesh,KANPUR,0,3,100000,70,Real Estate and Renting
1,AAI-3503,NSQUARE GLOBAL LLP   ,2017-01-23,Delhi,DELHI,0,3,10000,93,"Community, personal & Social Services"
1,AAI-2417,DIRECT MEDIA SOLUTIONS LLP   ,2017-01-11,Maharashtra,MUMBAI,0,2,30000000,74,Business Services
1,AAI-3504,VIEWPOINT MARKETING LLP   ,2017-01-23,Delhi,DELHI,1,2,2102000,74,Business Services
1,AAI-3505,CAPRICORN STEEL MILLS LLP   ,2017-01-23,Delhi,DELHI,0,2,100300,26,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAI-3027,BIKE REJUVENATION SERVICES LLP   ,2017-01-18,Maharashtra,MUMBAI,0,2,50000,50,Trading
1,AAI-3950,REFLECTION IMAGE CONSULTANTS LLP   ,2017-01-27,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAI-3549,KICK ASS FOOD WORKS LLP   ,2017-01-23,West Bengal,KOLKATA,0,3,200000,55,Trading
1,AAI-3574,TALERA GEHLOT CONSTRUCTIONS LLP   ,2017-01-23,Karnataka,BANGALORE,0,2,100000,45,Construction
1,AAI-3575,AIT PURE VEG RESTAURANT LLP   ,2017-01-23,Karnataka,BANGALORE,0,2,500000,55,Trading
1,AAI-3576,BETTER FUTURE SOLUTIONS LLP   ,2017-01-23,Telangana,HYDERABAD,2,2,100000,74,Business Services
1,AAI-3577,4DIRECT INFO SOLUTIONS LLP   ,2017-01-23,Telangana,HYDERABAD,0,3,100000,74,Business Services
1,AAI-3578,CHIKITSA AGRO INDUSTRIES LLP   ,2017-01-23,Telangana,HYDERABAD,0,2,100000,1,Agriculture and Allied Activities
1,AAI-3579,SAGEABLE SOLUTIONS LLP   ,2017-01-23,Telangana,HYDERABAD,0,2,100000,72,Business Services
1,AAI-2500,COLOR CONNECT HOME SOLUTIONS LLP   ,2017-01-12,Maharashtra,MUMBAI,0,2,50000,74,Business Services
1,AAI-3580,PRASAD TAX N LEGAL LLP   ,2017-01-23,Telangana,HYDERABAD,0,2,100000,93,"Community, personal & Social Services"
1,AAI-3581,NISHANGI FITNESS EMPORIUM LLP   ,2017-01-23,Telangana,HYDERABAD,0,2,100000,93,"Community, personal & Social Services"
1,AAI-2501,ZHOOSSH DIGITAL LLP   ,2017-01-12,Maharashtra,MUMBAI,2,2,100000,74,Business Services
1,AAI-2502,MARIKA'S HEALTHY KITCHEN LLP   ,2017-01-12,Maharashtra,MUMBAI,0,4,2000000,55,Trading
1,AAI-3582,GODSOWN DOG BOARDING SERVICES LLP   ,2017-01-23,Telangana,HYDERABAD,0,2,100000,74,Business Services
1,AAI-3583,SKT IMF LLP   ,2017-01-23,Telangana,HYDERABAD,0,2,1000000,66,Insurance
1,AAI-3135,QNOSA WEBSOLUTIONS LLP   ,2017-01-19,Punjab,CHANDIGARH,0,3,100000,72,Business Services
1,AAI-2503,DIGISHIT SOLUTIONS LLP   ,2017-01-12,Uttar Pradesh,KANPUR,0,2,100000,72,Business Services
1,AAI-1511,AL-CAST ROLLING LLP   ,2017-01-02,Gujarat,AHMEDABAD,5,2,40000000,27,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAI-1512,GREEN AND SUSTAINABLE TECHNOLOGY LLP   ,2017-01-02,Rajasthan,JAIPUR,0,2,1000000,74,Business Services
1,AAI-1513,CHAKUM CHUKUM FOOD & BEVERAGES LLP   ,2017-01-02,West Bengal,KOLKATA,0,2,100000,55,Trading
1,AAI-1514,PRAACHI REALITIES LLP   ,2017-01-02,Gujarat,AHMEDABAD,0,2,500000,70,Real Estate and Renting
1,AAI-1515,ISEBY SOLUTIONS LLP   ,2017-01-02,Maharashtra,PUNE,0,2,100000,74,Business Services
