Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAF-1278,SALIAN TOURS AND TECHNOLOGIES LLP   ,2016-06-03,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAG-5415,TRUEBLUE COMMERCE LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,10000,74,Business Services
1,AAG-5416,SHAH SAMPATTI SERVICES LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,200000,93,"Community, personal & Social Services"
1,AAG-5417,KRAFTCAD TRAINING AND SERVICES LLP   ,2016-06-01,Maharashtra,PUNE,0,2,20000,74,Business Services
1,AAG-5418,FOODTRUCKER ENGINEERING LLP   ,2016-06-01,Maharashtra,PUNE,0,2,50000,74,Business Services
1,AAG-5419,EXOTIC EXIM LLP   ,2016-06-01,West Bengal,KOLKATA,0,2,200000,51,Trading
1,AAG-5420,IFUND B2B SOLUTIONS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,1000000,74,Business Services
1,AAG-5421,ZILLION LABS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5422,JAYANT INFRASTRUCTURE LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,100000,70,Real Estate and Renting
1,AAG-5423,AXERA PHARMA LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5424,RENAMAX LABS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5425,FORTUNE PLUS MANAGEMENT SERVICES LLP   ,2016-06-01,Maharashtra,MUMBAI,0,3,100000,93,"Community, personal & Social Services"
1,AAG-5426,ANSCA DERMACEUTICALS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5427,ANVAXX LABORATORIES LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,120000,74,Business Services
1,AAG-5428,KSTAR ASSURANCE INSURANCE MARKETING LLP   ,2016-06-01,Uttar Pradesh,KANPUR,0,2,1000000,66,Insurance
1,AAG-5429,ILLUMA OPTHALMACEUTICALS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5430,VETRIUM HEALTH LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5431,APOLLO SHINE LLP   ,2016-06-01,Uttar Pradesh,KANPUR,0,2,20000,40,"Electricity, Gas & Water companies"
1,AAG-5432,ALMIRON PHARMA LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,100000,74,Business Services
1,AAG-5433,GENCREST LLP   ,2016-06-01,Maharashtra,MUMBAI,0,4,1000000,74,Business Services
1,AAG-5434,APPWINDOW SOLUTIONS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,50000,72,Business Services
1,AAG-5435,EPIRUS CONSLTANCY LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAG-5436,TRILOK ESTATES LLP   ,2016-06-01,Maharashtra,MUMBAI,0,12,100000,45,Construction
1,AAG-5437,COMMANDER INFRAWAYS LLP   ,2016-06-01,Maharashtra,MUMBAI,0,2,10000,45,Construction
1,AAG-5438,BIONORDISK LABORATORIES LLP   ,2016-06-01,Maharashtra,MUMBAI,1,2,100000,24,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAG-5439,PINSOFTEK LLP   ,2016-06-01,Gujarat,AHMEDABAD,0,2,100000,72,Business Services
1,AAG-5440,CHINMAY ELASTOMERS LLP   ,2016-06-01,Maharashtra,PUNE,0,2,1000000,25,"Manufacturing (Metals & Chemicals, and products thereof)"
1,AAG-5441,NEHRA INFRA HOMES LLP   ,2016-06-01,Uttar Pradesh,KANPUR,0,2,500000,70,Real Estate and Renting
