Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAG-2676,SURMAI EDUCATIONAL INITIATIVE LLP   ,2016-05-02,Uttar Pradesh,KANPUR,0,2,20000,80,"Community, personal & Social Services"
1,AAG-2677,DRAKS SOFT LLP   ,2016-05-02,Karnataka,BANGALORE,0,2,200000,72,Business Services
1,AAG-2678,WYVERN EDU SOLUTIONS LLP   ,2016-05-02,Karnataka,BANGALORE,1,2,1000,80,"Community, personal & Social Services"
1,AAG-2679,ALWIN PENTA HEALTHCARE SOLUTIONS LLP   ,2016-05-02,Uttar Pradesh,KANPUR,0,5,2500000,74,Business Services
1,AAG-2680,CCSRT INFRAHEIGHTS LLP   ,2016-05-02,Uttar Pradesh,KANPUR,0,5,250000,45,Construction
1,AAG-2681,AQUAZONE MARKETING LLP   ,2016-05-02,Delhi,DELHI,2,6,100000,51,Trading
1,AAG-2682,GB HANDICRAFT LLP   ,2016-05-02,Delhi,DELHI,0,2,100000,74,Business Services
1,AAG-2683,ROZ PREMIUM TISSUES LLP   ,2016-05-02,Delhi,DELHI,0,2,20000,21,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAG-2684,AURIGA FINANCIAL ADVISORY SERVICES LLP   ,2016-05-02,Delhi,DELHI,0,2,10000,74,Business Services
1,AAG-2685,AAKASHIK RECORDS LLP   ,2016-05-02,Delhi,DELHI,0,2,10000,74,Business Services
1,AAG-2686,ROSEWOOD BUILDING SOLUTION LLP   ,2016-05-02,Delhi,DELHI,0,2,100000,74,Business Services
1,AAG-2687,MAKEEASYBIZ.COM LLP   ,2016-05-02,Delhi,DELHI,0,3,20000,74,Business Services
1,AAG-2688,SYNTRIC TRADING SOLUTIONS LLP   ,2016-05-02,Delhi,DELHI,0,2,100000,74,Business Services
1,AAG-2689,VERACITI LEGAL AND DUE DILIGENCE SOLUTIO NS LLP  ,2016-05-02,Uttar Pradesh,KANPUR,0,2,100000,74,Business Services
1,AAG-2690,LIVROS PUBLISHING LLP   ,2016-05-02,Uttar Pradesh,KANPUR,0,2,1700000,22,"Manufacturing (Paper & Paper products, Publishing, printing and reproduction of recorded media)"
1,AAG-2691,AETHON INTERNATIONAL LLP   ,2016-05-02,Uttar Pradesh,KANPUR,0,2,200000,51,Trading
1,AAG-2692,SKBR INFRASTRUCTURES LLP   ,2016-05-02,Karnataka,BANGALORE,4,2,600000,45,Construction
1,AAG-2693,IKTARA FILMS LLP   ,2016-05-02,Karnataka,BANGALORE,0,2,10000,92,"Community, personal & Social Services"
1,AAG-2694,FINE BEAN COFFEE LLP   ,2016-05-02,Karnataka,BANGALORE,0,3,100000,15,Manufacturing (Food stuffs)
1,AAG-2695,NOVATECH SOLUTIONS LLP   ,2016-05-02,Karnataka,BANGALORE,1,4,1000000,74,Business Services
1,AAG-2696,EDABACUS SKILL DEVELOPMENT LLP   ,2016-05-02,Karnataka,BANGALORE,0,2,100000,80,"Community, personal & Social Services"
1,AAG-2697,VAISHNAVI SUPPORT SERVICES LLP   ,2016-05-02,Uttar Pradesh,KANPUR,0,2,100000,72,Business Services
1,AAG-2698,VITUS IMPEX LLP   ,2016-05-02,Karnataka,BANGALORE,0,2,100000,51,Trading
1,AAG-2699,SUNTASTIC MEDIA LLP   ,2016-05-02,Maharashtra,MUMBAI,0,2,100000,74,Business Services
1,AAG-2700,GJV BUSINESS SOLUTIONS LLP   ,2016-05-02,Kerala,ERNAKULAM,1,2,100000,74,Business Services
1,AAG-2701,JOY 2 TECHNOLOGIES LLP   ,2016-05-02,Karnataka,BANGALORE,0,2,400000,52,Trading
1,AAG-2702,VERITE HOSPITALITY LLP   ,2016-05-02,Maharashtra,MUMBAI,0,2,50000,55,Trading
1,AAG-2703,EARTHA LLP   ,2016-05-02,Karnataka,BANGALORE,3,2,7500000,45,Construction
1,AAG-2704,ADDONN HEALTH AND LIFECARE LLP   ,2016-05-02,Maharashtra,MUMBAI,0,2,50000,85,"Community, personal & Social Services"
1,AAG-2705,YOSEMINDS LLP   ,2016-05-02,Karnataka,BANGALORE,0,2,50000,74,Business Services
