Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAN-0750,MADRAS ANALYTICA LLP,2018-08-01,Tamil Nadu,CHENNAI,0,2,10000,74,Business Services
1,AAN-1264,SCANDINAVIAN MEDITECH LLP,2018-08-09,Tamil Nadu,CHENNAI,1,2,100100,51,Trading
1,AAN-1265,VANAM MILK LLP,2018-08-09,Tamil Nadu,CHENNAI,2,2,5850000,1,Agriculture and Allied Activities
1,AAN-1269,SVR NILA MU PROJECTS LLP,2018-08-09,Tamil Nadu,CHENNAI,0,2,500000,70,Real Estate and Renting
1,AAN-1270,THIAGARAJAR LEASING LLP,2018-08-09,Tamil Nadu,CHENNAI,1,2,60020,74,Business Services
1,AAN-1307,BEST PULSES AND FOODS LLP,2018-08-09,Tamil Nadu,CHENNAI,1,2,100000,51,Trading
1,AAN-1310,SOUTHLAND DEVELOPERS LLP,2018-08-09,Tamil Nadu,CHENNAI,0,2,100000,45,Construction
1,AAN-1312,LOTSATRAVEL HOLIDAYS LLP,2018-08-09,Tamil Nadu,CHENNAI,0,2,100000,63,"Transport, storage and Communications"
1,AAN-1313,POLICYMOJO LLP,2018-08-09,Tamil Nadu,CHENNAI,0,2,100000,74,Business Services
1,AAN-1318,NIRETA BRANDS LLP,2018-08-09,Tamil Nadu,CHENNAI,0,2,10000,74,Business Services
1,AAN-1319,SOUTH INDIAN PRODUCTS COMMERCIAL LLP,2018-08-09,Tamil Nadu,CHENNAI,1,2,100000,51,Trading
1,AAN-1320,MARUDHAMALAI INDUSTRIAL & LOGISTICS PARK,2018-08-09,Tamil Nadu,CHENNAI,0,2,300000,74,Business Services
1,AAN-1326,ALAFEEFA TRADES & INDUSTRIES LIMITED LIA,2018-08-10,Tamil Nadu,CHENNAI,0,2,100000,36,Manufacturing (Others)
1,AAN-1327,LOOM CRAFTS BOSTON BUILDTECH (CHENNAI) L,2018-08-10,Tamil Nadu,CHENNAI,0,2,100000,45,Construction
