Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAM-5237,ORION EDUTAINMENT LLP,2018-05-01,Maharashtra,MUMBAI ,2,2,50000,80,"Community, personal & Social Services"
1,AAM-5239,SELF DEVELOPMENT SCIENCES LLP,2018-05-01,Maharashtra,MUMBAI ,0,2,100000,74,Business Services
1,AAM-5240,SAATHIYA4U MATRIMONIAL LLP,2018-05-01,Maharashtra,MUMBAI ,0,2,100000,93,"Community, personal & Social Services"
1,AAM-5241,DHRU BROKING & ADVISORY LLP,2018-05-01,Maharashtra,MUMBAI ,0,2,100000,65,Finance
1,AAM-5243,TIME 2 SHINE BKC LLP,2018-05-01,Maharashtra,MUMBAI ,1,2,30000,50,Trading
1,AAM-5245,TRAKX TECHNOLOGIES LLP,2018-05-01,Maharashtra,MUMBAI ,0,2,20000,74,Business Services
1,AAM-5226,FOREMOST TRADECOM LLP,2018-05-01,West Bengal,KOLKATA,7,2,500000,70,Real Estate and Renting
1,AAM-5227,CROSSROAD PROJECTS LLP,2018-05-01,West Bengal,KOLKATA,5,2,355000,70,Real Estate and Renting
1,AAM-5228,SUSTAIN INFRASTRUCTURE LLP,2018-05-01,West Bengal,KOLKATA,5,2,388000,70,Real Estate and Renting
1,AAM-5229,TULIP MANSIONS LLP,2018-05-01,West Bengal,KOLKATA,6,2,384000,70,Real Estate and Renting
1,AAM-5231,MEGAPIX PROPERTIES LLP,2018-05-01,West Bengal,KOLKATA,4,2,111900,70,Real Estate and Renting
1,AAM-5232,NILAMBER ENCLAVE LLP,2018-05-01,West Bengal,KOLKATA,6,2,384000,70,Real Estate and Renting
1,AAM-5233,POSITIVE PROMOTERS LLP,2018-05-01,West Bengal,KOLKATA,5,2,335000,70,Real Estate and Renting
1,AAM-5234,ROYALPET HOUSING LLP,2018-05-01,West Bengal,KOLKATA,7,2,500000,52,Trading
1,AAM-5235,ORCHID INFRA NIRMAN LLP,2018-05-01,West Bengal,KOLKATA,5,2,355000,70,Real Estate and Renting
1,AAM-5230,GR HEALTH CARE INDIA LLP,2018-05-01,Tamil Nadu,CHENNAI,0,2,100000,74,Business Services
1,AAM-5281,CRESCENT CASTLE LLP,2018-05-01,Telangana,HYDERABAD,2,2,1000000,74,Business Services
1,AAM-5284,GARUDA INFRA PROJECTS INDIA LLP,2018-05-01,Telangana,HYDERABAD,0,2,100000,74,Business Services
1,AAM-5285,B AND M MERCHANDISE LLP,2018-05-01,Telangana,HYDERABAD,0,3,100000,74,Business Services
