Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAQ-6576,SIX SEASONS HOSPITALITY LIMITED LIABILITY PARTNERSHIP,2019-09-25,Maharashtra,Pune,4,1,50000,15,Manufacturing (Food stuffs)
1,AAQ-6320,EDIFY INFORMATICS VALUE SOLUTION AND SERVICES LLP,2019-09-24,Karnataka,Bangalore,2,1,100000,74,Business Services
1,AAQ-5861,DESTINATION EXPERIENCES INSTITUTE OF TRAVEL CONSULTANT LLP,2019-09-19,West Bengal,Kolkata,2,0,100000,74,Business Services
1,AAQ-6414,MSFL MULTILINGUAL SCHOOL OF FOREIGN LANGUAGES LLP,2019-09-25,Uttar Pradesh,Kanpur,2,0,100000,80,"Community, personal & Social Services"
1,AAQ-5672,BEANTOWN PROPERTIES AND INVESTMENTS LIMITED LIABILITY PARTNERSHIP,2019-09-18,Karnataka,Bangalore,2,0,100000,74,Business Services
1,AAQ-4646,UNITE 100 INSURANCE SURVEYORS AND LOSS ASSESSORS LLP,2019-09-04,Haryana,Delhi,2,0,1000000,67,Finance
1,AAQ-5168,SKYCHEAPER.COM LIMITED LIABILITY PARTNERSHIP,2019-09-12,Gujarat,Ahmedabad,2,0,100000,63,"Transport, storage and Communications"
1,AAQ-4713,CRAFT BUILDERS LIMITED LIABILITY PARTNERSHIP,2019-09-05,Kerala,Ernakulam,2,2,100000,45,Construction
1,AAQ-4750,FABLIMINO CARE LIMITED LIABILITY PARTNERSHIP,2019-09-05,Haryana,Delhi,2,1,100000,52,Trading
1,AAQ-6210,ARSH INFRAZONE LIMITED LIABILITY PARTNERSHIP,2019-09-20,Uttar Pradesh,Kanpur,2,0,2000000,70,Real Estate and Renting
1,AAQ-6661,MONSO CLOTHING LIMITED LIABILITY PARTNERSHIP,2019-09-26,Kerala,Ernakulam,2,0,200000,52,Trading
1,AAQ-6184,ONPOINT GLOBAL IMMIGRATION & EVALUATION SERVICES LLP,2019-09-20,Telangana,Hyderabad,2,0,10000,74,Business Services
1,AAQ-4799,AYUSHYAKAM HEALTHCARE AND ALLIED SERVICES LLP,2019-09-05,Maharashtra,Mumbai,3,0,50000,85,"Community, personal & Social Services"
1,AAQ-5185,ALLEGIANT TRAINING & MANAGEMENT SOLUTIONS LLP,2019-09-12,Maharashtra,Mumbai,2,2,400000,74,Business Services
