Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAP-1374,CHIRRON LIFESTYLE LLP ,2019-05-01,Gujarat,AHMEDABAD,0,2,100000,51, Wholesale trade and commission
1,AAP-1375,DOSHI BROTHERS LLP  ,2019-05-01,Gujarat,AHMEDABAD,0,2,600000,52," Retail trade,except of motor v"
1,AAP-1384,RAMISENA DAIRY PRODUCTS LLP ,2019-05-01,Gujarat,AHMEDABAD,0,2,10000,15, Manufacture of food products a
1,AAP-1386,ARON LIFELINK LLP  ,2019-05-01,Gujarat,AHMEDABAD,0,3,102000,51, Wholesale trade and commission
1,AAP-1387,SP'S PIZZERIA LLP  ,2019-05-01,Gujarat,AHMEDABAD,0,2,20000,15, Manufacture of food products a
1,AAP-1393,CUPPA CULT LLP  ,2019-05-01,Gujarat,AHMEDABAD,0,2,50000,15, Manufacture of food products a
1,AAP-1418,IKC FOOD PRODUCTS LLP ,2019-05-01,Gujarat,AHMEDABAD,0,3,100000,51, Wholesale trade and commission
1,AAP-1423,CONGRUENCE AGRO-HEALTHTECH LLP ,2019-05-01,Gujarat,AHMEDABAD,1,3,20000,73, Research and Development
1,AAP-1424,MAXSELL DISTRIBUTORS LLP ,2019-05-01,Gujarat,AHMEDABAD,1,2,100000,74, Other Business Activities
1,AAP-1429,JITENDRA K JAIN & ASSOCIATES LLP ,2019-05-01,Gujarat,AHMEDABAD,0,3,100000,74, Other Business Activities
1,AAP-1434,EMPIRICAL STUDIOS LLP ,2019-05-01,Gujarat,AHMEDABAD,2,2,100000,72, Computer and related activitie
1,AAP-1474,GETYOTEAM SOLUTION LLP ,2019-05-01,Gujarat,AHMEDABAD,0,2,100000,72, Computer and related activitie
1,AAP-1477,ASIATIC LILY BUILDERS AND PHARMA LLP ,2019-05-01,Gujarat,AHMEDABAD,0,2,2500000,70, Real estate activities
1,AAP-1491,KUBERGREEN INFRA LLP  ,2019-05-01,Gujarat,AHMEDABAD,1,2,100000,45, Construction
1,AAP-1492,ARCHNTER ASSOCIATESLLP ,2019-05-01,Gujarat,AHMEDABAD,0,3,100000,74, Other Business Activities
1,AAP-1533,NANOCARE TECHNOPRODUCTS LLP ,2019-05-01,Gujarat,AHMEDABAD,0,2,100000,74, Other Business Activities
1,AAP-1534,UNIVERSAL LIFELINE LLP ,2019-05-01,Gujarat,AHMEDABAD,0,2,400000,33," Manufacture of medical, precis"
1,AAP-1539,SOLIDSALT LLP  ,2019-05-01,Gujarat,AHMEDABAD,1,2,30000,74, Other Business Activities
1,AAP-1373,ANGELINA CONSULTANCY SERVICES LLP ,2019-05-01,Karnataka,BANGALORE,0,2,100000,74, Other Business Activities
