Count,No,Name,Date,State,ROC,Partners,Designated Partners,Obligation,Division,Activity
1,AAQ-1266,KIA IT 360 LLP,2019-08-01,Delhi,Delhi,,,10000,72,Business Services
1,AAQ-1267,CREDIBILIA TECHNOLOGY & SERVICES LLP,2019-08-01,Maharashtra,Mumbai,,,100000,74,Business Services
1,AAQ-1269,CRAFTANY IT SOLUTIONS LLP,2019-08-01,Telangana,Hyderabad,,,100000,72,Business Services
1,AAQ-1270,METASTACK INFRASTRUCTURE LLP,2019-08-01,Maharashtra,Mumbai,,,100000,45,Construction
1,AAQ-1272,NIRVAHAK TECHNOLOGIES LLP,2019-08-01,Telangana,Hyderabad,,,100000,72,Business Services
1,AAQ-1301,AGROCRACY LLP,2019-08-01,Maharashtra,Mumbai,,,10000,1,Agriculture and Allied Activities
1,AAQ-1268,DHWANI'S FITNESS CLUB LLP,2019-08-01,Maharashtra,Pune,,,50000,92,"Community, personal & Social Services"
1,AAQ-1271,OPALS VASTU LLP,2019-08-01,Maharashtra,Pune,,,100000,45,Construction
1,AAQ-1276,DKD HR CONSULTANTS LLP,2019-08-01,Maharashtra,Mumbai,,,100000,74,Business Services
1,AAQ-1368,IGLOO VANIJYA LLP,2019-08-01,West Bengal,Kolkata,,,100000,51,Trading
1,AAQ-1370,NEXT GENERATION WAREHOUSING LLP,2019-08-01,Delhi,Delhi,,,100000,63,"Transport, storage and Communications"
1,AAQ-1372,EMERALD FOOD BRANDS LLP,2019-08-01,Maharashtra,Mumbai,,,100000,55,Trading
1,AAQ-1375,ZEROMILE RESEARCH & DEVELOPMENT LLP,2019-08-01,Maharashtra,Mumbai,,,100000,72,Business Services
1,AAQ-1273,CONSULTACT BUSINESS ADVISORY LLP,2019-08-01,Delhi,Delhi,,,10000,74,Business Services
1,AAQ-1274,NANBEN SOLUTIONS LLP,2019-08-01,Tamil Nadu,Coimbatore,,,100000,51,Trading
1,AAQ-1275,S.A.M BAKES LLP,2019-08-01,Maharashtra,Mumbai,,,100000,74,Business Services
1,AAQ-1277,IPHYSIOHEALTHCARE PHYSIOTHERAPY LLP,2019-08-01,Maharashtra,Pune,,,20000,85,"Community, personal & Social Services"
1,AAQ-1279,IMAX GOLD AGENCIES LLP,2019-08-01,Kerala,Ernakulam,,,100000,51,Trading
1,AAQ-1280,MEDIFAB ENGINEERING LLP,2019-08-01,Maharashtra,Mumbai,,,50000,29,Manufacturing (Machinery & Equipments)
1,AAQ-1281,ASFALEIA TECHNOLOGIES LLP,2019-08-01,Maharashtra,Pune,,,50000,72,Business Services
1,AAQ-1282,ORESPS FOODS LLP,2019-08-01,Telangana,Hyderabad,,,100000,15,Manufacturing (Food stuffs)
1,AAQ-1283,LJS POWER LLP,2019-08-01,Karnataka,Bangalore,,,50000,40,"Electricity, Gas & Water companies"
1,AAQ-1285,CITTY LIGHT TECHNOLOGIES INDIA LLP,2019-08-01,Karnataka,Bangalore,,,50000,93,"Community, personal & Social Services"
